"Frequency / Hz","Vm1:Measured voltage","Vm1:Measured voltage"
10,19.650161416816626,-0.85423289714078854
20,19.674675317226573,-0.12388142287829369
30,19.668383508169132,-0.55343993894770571
40,19.658985847749342,-0.34051444306374512
50,19.70818838105113,-0.6340723188986791
60,19.591692642014692,-1.3994684727827118
70,19.737052458953372,-1.056441641568991
80,19.600971009170053,-1.1848191847403351
90,19.729670941056362,-0.92208061733514557
100,19.604011400100791,-1.2416239951265096
110,19.660980510322577,-1.5785578031673833
111.09999999999999,19.786801655429763,-2.1579649496519173
121.19999999999999,19.699543069242591,-2.5037177670942459
131.29999999999998,19.77365817579695,-2.2890051918634255
141.40000000000001,19.717016188493595,-2.3565988721951538
151.5,19.685409131133476,-2.6808022291788745
161.59999999999999,19.651136466046541,-2.6217940977141017
171.69999999999999,19.609980835759618,-2.7712565251902297
181.79999999999998,19.719866558267448,-2.0577909885004493
191.90000000000001,19.736982923445275,-2.6789735578704303
202,19.672575732252472,-2.834110202669287
212.09999999999999,19.700510989806244,-3.0576717934408042
222.19999999999999,19.769276932115126,-3.2540956607593658
232.29999999999998,19.804874525961047,-2.6238260142423053
242.39999999999998,19.802051230774264,-3.2547459544107942
252.5,19.871155494687038,-3.769131370373533
262.59999999999997,19.828766851664771,-4.179818790757702
272.69999999999999,19.788992468426187,-4.5004050952990688
282.80000000000001,19.823892847624094,-4.1866920893934285
292.89999999999998,19.794753213880117,-4.345611218828263
303,19.88825108529409,-4.1854500489161426
313.09999999999997,19.899398422499324,-4.6803506865396765
323.19999999999999,19.872660894778868,-4.3510906339789903
333.30000000000001,19.889119862660756,-4.7858464154801492
343.39999999999998,20.028334369678372,-4.5762588893971685
353.5,19.991832082042595,-5.265739478587073
363.59999999999997,19.985193421444151,-5.2532948011029985
373.69999999999999,19.950509967912705,-5.549394231341676
383.80000000000001,20.04702845929128,-5.3157847975132464
393.89999999999998,20.083124546989794,-5.5303155377555626
404,19.974829195354335,-6.2189293308315499
414.09999999999997,20.017941729492122,-5.4847090476485176
424.19999999999999,20.098987620929151,-6.4837881070307306
434.30000000000001,20.138915001323205,-6.5639429364431336
444.39999999999998,20.136613847537369,-6.7175230900403058
454.5,20.085212773168116,-6.7657480489154818
464.59999999999997,20.127291023956747,-6.2558774485534405
474.69999999999999,20.22548053070221,-7.857099687967354
484.79999999999995,20.154337862394001,-6.8212629482036817
494.89999999999998,20.205783440738418,-7.7897202220961939
505,20.234977126025289,-7.5982840293067939
515.10000000000002,20.272336361900464,-7.6547072796790721
525.19999999999993,20.340954696426643,-7.9278882470175684
535.29999999999995,20.283129748091117,-8.245590581243663
545.39999999999998,20.262647982991954,-8.607200632424739
555.5,20.403737293617638,-8.7045220718729883
565.60000000000002,20.389186523934995,-8.7405498122450176
575.69999999999993,20.40100676879927,-8.346956229729841
585.79999999999995,20.442846215611649,-9.3284961056414772
595.89999999999998,20.447587904592663,-9.5315325895412109
606,20.544476870289916,-9.5827063550922276
616.10000000000002,20.520684265041748,-9.8676754245230782
626.19999999999993,20.509898464246742,-9.9929683677617565
636.29999999999995,20.721988669595632,-9.9640478430290269
646.39999999999998,20.647795827007506,-10.058003364561188
656.5,20.670200639888208,-10.762278560498142
666.60000000000002,20.709644851611152,-9.9504830837409148
676.69999999999993,20.759152058486489,-11.437018019455396
686.79999999999995,20.766407392406379,-10.609039196928387
696.89999999999998,20.821810033731296,-11.603078315335402
707,20.82105291677772,-10.952636295451271
717.10000000000002,20.841709860283476,-11.782731874677943
727.19999999999993,20.904055283880631,-12.013386504303105
737.29999999999995,20.927662666132498,-12.690778266902628
747.39999999999998,20.987839258116697,-12.24585331165342
757.5,20.930205389991272,-12.898483924610549
767.60000000000002,20.991478970352357,-13.67088855659466
777.69999999999993,21.105713004444986,-12.946119944437887
787.79999999999995,20.970150165918792,-13.304555836204822
797.89999999999998,21.145572444929748,-14.430274496295443
808,21.235158899797817,-13.892666998700179
818.10000000000002,21.155734257989849,-14.37081157668241
828.19999999999993,21.199592145965298,-14.248656906819448
838.29999999999995,21.267423354218579,-14.432041079147467
848.39999999999998,21.328190816975678,-14.87314451397423
858.5,21.32667289436402,-15.282267096457106
868.60000000000002,21.442719967785138,-15.758611333447158
878.69999999999993,21.456951130249756,-16.175463067534171
888.79999999999995,21.504368116406564,-15.674098828034785
898.89999999999998,21.51545407085289,-16.287301144228675
909,21.53283560297519,-16.549629855762987
919.10000000000002,21.711089181177563,-17.292941971641859
929.19999999999993,21.77506693791992,-17.166326349968966
939.29999999999995,21.72539663221135,-16.808238542271109
949.39999999999998,21.615592722129719,-17.924828771150338
959.5,21.793315129736108,-18.227640600550316
969.59999999999991,21.878615652830117,-18.617317128205919
979.69999999999993,21.97579514593567,-18.568681898645359
989.79999999999995,22.001432530864591,-19.543034009866691
999.89999999999998,22.0680990452705,-19.477175652846412
1010,21.995288901853449,-19.514599737787769
1020.0999999999999,22.190861166846876,-19.709895390760984
1112.0999999999999,22.125052519985879,-26.208765327204343
1213.1999999999998,22.319223789755405,-33.43799875583489
1314.3,22.905622061899791,-40.630061564986079
1415.3999999999999,23.039888878331954,-47.786808434620362
1516.5,23.234561448239855,-56.684230473450505
1617.5999999999999,23.401265031557351,-68.095645901515155
1718.6999999999998,23.307403566927082,-76.260989869258466
1819.8,23.056785893672181,-86.689390060169458
1920.8999999999999,22.271573509490374,-96.066798942243153
2022,21.796181841014011,-104.47792966876557
2123.0999999999999,21.232946834726146,-109.34166019322758
2224.1999999999998,20.441717014033198,-117.44452297750568
